Id,CanonicalItem,Aliases,CuFtS,CuFtM,CuFtL,WeightSLb,WeightMLb,WeightLLb,TwoPersonFlag,StackableFlag,StackableSavingsPct,FitsElevatorHint,BaseTimeSMin,BaseTimeMMin,BaseTimeLMin,DisassemblyAdderSMin,DisassemblyAdderMMin,DisassemblyAdderLMin,BulkyAdderSMin,BulkyAdderMMin,BulkyAdderLMin,HeavyAdderSMin,HeavyAdderMMin,HeavyAdderLMin,StairsAdderPerFlightSMin,StairsAdderPerFlightMMin,StairsAdderPerFlightLMin,ElevatorAdderPerRideSMin,ElevatorAdderPerRideMMin,ElevatorAdderPerRideLMin,UnloadMultiplierMainFloor,UnloadMultiplierElevator,UnloadMultiplierStairs,ClassificationLogicNotes,CreatedAt,UpdatedAt
1,DefaultItem,default; default item; unknown; misc; miscellaneous item,3,6,10,15,35,60,No,No,0,Yes,3,5,7,0,0,0,0,1,2,0,1,3,0.5,1,1.5,0.5,1,1.5,1,1,1,Safe fallback row used when Vision Agent cannot match an item to a real catalog item. Conservative generic values to avoid zero pricing while preventing extreme overpricing.,,
101,boxes & bags,boxes; bags; box; bag,3,5,8,10,25,45,No,Yes,30,Yes,2.5,3,4.5,0,0,0,0,0,0,0,0,2,0.5,1,1.5,0.5,1,1.5,0.85,0.95,1.05,Manual aggregate counter row for UI Boxes & bags. Values based on VisionItems3 light stackable items such as plastic storage bin suitcase and sports bag. Kept CanonicalItem as boxes & bags to match UI intent.,,
1001,mattress,mattress; foam mattress; spring mattress; queen mattress; king mattress; twin mattress,12,18,25,30,60,100,Maybe,No,0,Usually,4.5,6,10,0,0,0,2,4.5,6.5,0.5,2.5,6,1.5,2.5,5,1,1.5,2.5,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=bedroom_bed. source=Mattress score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1002,bed,bed; bed set; full bed; queen bed; king bed; twin bed,18,28,40,50,90,140,Yes,No,0,If disassembled,6,10,15,7.5,11,15,2.5,4.5,7.5,0,2,6,2,4,7,1,2,3,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=bedroom_bed. source=bed score=100; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1003,bunk bed,bunk bed; bunkbed; bunk beds,40,70,100,120,180,260,Yes,No,0,If disassembled,12.5,21,35,11,20,30,4.5,9,11.5,2,6,10,4.5,8,12.5,2,3,4.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=bedroom_bed. source=Bunk bed score=100; base=scaled from Rework pattern + controlled 13-3 reference.,,
1004,crib,crib; baby crib; kids crib; toddler crib,12,18,25,35,55,80,Maybe,Yes,15,Yes,5.5,7.5,11,5,9,14,1,2.5,3.5,0,0,3,1,2,3.5,1,1.5,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=bedroom_bed. source=Crib score=100; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive.,,
1005,storage bed,storage bed; bed with storage,30,48,70,100,160,230,Yes,No,0,If disassembled,10,15,22,12,17.5,22.5,3,9,11.5,2.5,5,10.5,3.5,7,10,1.5,2.5,3.5,0.95,1.05,1.15,Rebuilt from Rework identity/size/weight. Category=bedroom_bed. source=storage bed frame score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1006,daybed,daybed; day bed; sofa bed frame,18,30,45,60,100,150,Yes,No,0,Usually,8.5,12,14.5,6,6,9.5,3.5,6.5,10,1,4,6,3,5.5,7.5,1.5,2,3,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=bedroom_bed. source=chaise lounge score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
1007,headboard,headboard; bed headboard,5,8,12,20,35,60,No,Yes,15,Yes,3.5,5.5,7.5,2,4,6,0,1.5,2,0,0,3,0.5,1.5,2.5,0.5,1.5,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=bedroom_bed. source=headboard score=100; base=scaled from Rework pattern + controlled 13-3 reference; 13-3 base capped as aggressive; adders use Rework size/weight with capped 13-3 reference.,,
1008,box spring,box spring; boxspring; foundation; bed foundation,10,15,20,20,40,70,Maybe,No,0,Usually,4.5,6.5,9,2,4,6,1,2.5,3.5,0,0,3,1,1.5,3,1,1.5,2,0.9,1,1.1,Rebuilt from Rework identity/size/weight. Category=bedroom_bed. source=Box spring/Foundation score=88; base=scaled from Rework pattern + controlled 13-3 reference; adders use Rework size/weight with capped 13-3 reference.,,
